,Model,Sharpe,Return,Std
139,mw_0.8_lambda_1_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.3726818397090188,0.06296258169178212,0.045868299463427686
147,mw_1.0_lambda_10_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.3503376654360748,0.09237620004362333,0.06840970403783529
21,mw_0.8_lambda_10_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.3027172997203944,0.08703377709550199,0.06680941222948546
14,mw_0.6000000000000001_lambda_5_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.2775186247298989,0.09632407496264869,0.07539935081808623
27,mw_1.0_lambda_10_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.1625609695121322,0.08787142771539304,0.07558436075165005
13,mw_0.6000000000000001_lambda_1_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.1473619669087927,0.11700479265271349,0.10197722778622882
12,mw_0.6000000000000001_lambda_0.5_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.1148478194910514,0.11937516033820023,0.10707753852243007
20,mw_0.8_lambda_5_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.1078655749525637,0.1047152698045981,0.09451983360804561
26,mw_1.0_lambda_5_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,1.0023180897033566,0.10460664270488632,0.1043647159314918
19,mw_0.8_lambda_1_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,0.9878642995616045,0.1323651701064199,0.13399124775048665
18,mw_0.8_lambda_0.5_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,0.9812013659068215,0.13985281062702487,0.1425322217094282
25,mw_1.0_lambda_1_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,0.8573186241433115,0.13744569723950634,0.16032043789653003
24,mw_1.0_lambda_0.5_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,0.8557108022623037,0.14178582320381658,0.1656936231597957
212,mw_0.6000000000000001_lambda_0_pred_na_opt_cvar_alpha_0.1_cvarmethod_Historical,0.0,0.0,0.0010526663641750966
213,mw_0.8_lambda_0_pred_na_opt_cvar_alpha_0.1_cvarmethod_Historical,0.0,0.0,0.0007430783775869981
214,mw_1.0_lambda_0_pred_na_opt_cvar_alpha_0.1_cvarmethod_Historical,0.0,0.0,0.0010571439885039907
215,mw_0.2_lambda_0_pred_na_opt_cvar_alpha_0.5_cvarmethod_Historical,0.0,0.0,0.0007430783775869981
